code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
000609,中迪投资,"Beijing Zodi Investment Co., Ltd.",9.96,3,6,6,5.85,5.85,5.79,5.85,5.32,0.53,1.13,405394.39,237142.143,SZ,13.8846,10.9,5.34,32.95,4.95,37.97,4.61,37.0
000835,长城动漫,"Great Wall International Acg Co., Ltd.",9.96,5,6,4,4.86,5.3,4.34,5.3,4.82,0.48,19.92,751925.19,363703.62,SZ,24.8246,2.8,4.83,33.17,4.42,61.09,3.82,66.14
002703,浙江世宝,Zhejiang Shibao Company Limited,10.02,2,2,3,5.02,5.27,4.9,5.27,4.79,0.48,7.72,435286.79,223637.238,SZ,7.8704,10.42,4.8,20.05,4.64,21.15,4.46,22.27
002721,金一文化,"Beijing Kingee Culture Development Co.,Ltd.",9.94,2,2,2,5.6,5.75,5.44,5.75,5.23,0.52,5.93,368093.27,208263.639,SZ,5.9282,3.38,5.24,19.05,5.04,26.1,4.84,21.82
002967,广电计量,"Guangzhou Grg Metrology & Test Co.,Ltd.",10.0,3,3,3,28.5,30.58,26.95,30.58,27.8,2.78,13.06,601236.81,1740913.414,SZ,72.7273,5.02,27.88,33.13,25.5,61.12,20.66,159.81
300221,银禧科技,"Guangdong Silver Age Sci & Tech Co.,Ltd.",10.05,3,3,2,5.66,6.02,5.56,6.02,5.47,0.55,8.41,740039.81,432117.801,GEB,18.0181,8.53,5.49,33.19,5.12,34.98,4.85,26.21
300341,麦克奥迪,"Motic (Xiamen) Electric Group Co.,Ltd",10.02,7,8,8,13.95,13.95,13.95,13.95,12.68,1.27,0.0,71072.41,99146.011,GEB,1.3946,2.35,12.72,33.11,11.63,61.09,9.58,105.75
600105,永鼎股份,JIANGSU ETERN COMPANY LIMITED,10.03,2,2,2,4.25,4.39,4.05,4.39,3.99,0.4,8.52,774848.49,326822.478,SH,6.2575,7.24,4.0,19.95,3.88,21.27,3.76,17.38
600397,安源煤业,"Anyuan Coal Industry Group Co., Ltd.",10.18,4,6,4,2.98,3.03,2.95,3.03,2.75,0.28,2.91,460442.48,139215.083,SH,4.6511,1.35,2.76,33.48,2.52,51.5,2.26,50.75
603123,翠微股份,"Beijing Cuiwei Tower Co., Ltd.",10.0,2,2,2,8.58,8.58,8.46,8.58,7.8,0.78,1.54,467827.35,401255.99,SH,8.9255,13.03,7.82,29.22,7.34,28.25,6.99,29.41
603555,贵人鸟,"Guirenniao Co.,Ltd.",10.12,3,5,3,4.68,4.68,4.5,4.68,4.25,0.43,4.24,197820.36,92096.045,SH,3.147,2.69,4.26,33.33,3.95,38.87,3.7,36.84
