code,name,enname,pct_chg_exact,up_count,up_true_count,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
000732,泰禾集团,"Tahoe Group Co., Ltd",6.61,3,0,5.6,6.16,5.6,5.97,5.6,0.37,10.0,680240.14,401657.757,SZ,2.7362,5.82,5.7,8.55,5.63,7.76,5.58,6.99
000893,东凌国际,"Donlinks International Investment Co., Ltd.",5.11,1,0,6.26,6.89,6.26,6.58,6.26,0.32,10.06,73853.94,49301.171,SZ,1.8429,3.02,6.39,3.95,6.35,8.4,6.31,3.13
000959,首钢股份,"Beijing Shougang Co., Ltd.",5.7,3,0,3.51,3.86,3.49,3.71,3.51,0.2,10.54,492569.86,180961.444,SZ,0.974,6.84,3.55,9.44,3.49,9.76,3.42,11.08
002286,保龄宝,"Baolingbao Biology Co., Ltd.",4.76,3,2,5.68,6.24,5.64,5.94,5.67,0.27,10.58,111400.65,66409.948,SZ,3.0169,4.63,5.67,10.41,5.56,10.41,5.56,4.58
002296,辉煌科技,"Henan Splendor Science & Technology Co., Ltd.",4.47,1,0,7.39,8.13,7.39,7.72,7.39,0.33,10.01,468132.17,363921.542,SZ,14.2306,1.29,7.59,6.78,7.51,5.32,7.42,6.93
002314,南山控股,"Shenzhen New Nanshan Holding (Group) Co.,Ltd",5.88,1,0,2.89,3.18,2.88,3.06,2.89,0.17,10.38,228518.75,70820.99,SZ,2.009,7.58,2.96,5.52,2.94,4.44,2.92,6.62
002556,辉隆股份,"Anhui Huilong Agricultural Means of Production .Co.,Ltd.",8.85,1,0,5.2,5.72,5.15,5.66,5.2,0.46,10.96,236368.06,130308.481,SZ,3.3031,1.95,5.38,4.81,5.4,6.79,5.25,16.7
300053,欧比特,"Zhuhai Orbita Aerospace Science & Technology Co.,Ltd",5.18,1,1,12.31,12.31,11.65,11.77,11.19,0.58,5.9,590583.96,722226.193,GEB,10.3377,3.53,11.3,7.98,11.12,8.48,10.73,12.42
300797,钢研纳克,"NCS Testing Technology CO.,LTD.",-1.29,0,1,29.77,29.77,25.16,26.71,27.06,-0.35,17.04,479375.21,1314747.395,GEB,77.2563,40.7,26.12,19.45,24.21,44.53,19.81,132.87
600117,西宁特钢,"Xining Special Steel Co.,Ltd",9.67,3,1,3.35,3.64,3.33,3.63,3.31,0.32,9.37,349289.06,124109.076,SH,4.7124,7.44,3.37,14.51,3.3,14.51,3.23,14.51
600691,阳煤化工,"Yangmei Chemical Co.,Ltd",4.88,2,2,2.06,2.26,2.05,2.15,2.05,0.1,10.24,249767.93,53800.423,SH,1.4221,2.97,2.07,6.44,2.05,9.14,2.01,6.97
603115,海星股份,"Nantong Haixing Electronics Co., Ltd.",5.01,1,1,20.95,23.03,20.95,21.99,20.94,1.05,9.93,88686.53,193430.486,SH,17.0551,1.13,21.61,0.0,21.76,10.01,21.15,7.85
603778,乾景园林,"Beijing Qianjing Landscape Co., Ltd",-0.18,0,3,5.95,5.95,5.35,5.4,5.41,-0.01,11.09,607284.56,352734.294,SH,12.1457,4.85,5.43,-2.7,5.45,1.31,5.27,10.2
