code,name,pct_highest(%),pct_chg(%),pre_close_price,open_price,close_price,high,low,volume
603915,国茂股份,-5.102,3.98,14.31,14.3,14.88,15.68,14.21,48928.45
000040,东旭蓝天,-5.0575,3.77,3.98,4.05,4.13,4.35,3.99,837234.97
002497,雅化集团,-5.1005,3.72,5.92,5.93,6.14,6.47,5.85,268049.66
600105,永鼎股份,-6.2112,3.19,4.39,4.41,4.53,4.83,4.35,1539394.71
300720,海川智能,-5.4072,3.12,14.08,14.1,14.52,15.35,14.07,18558.06
603021,山东华鹏,-6.4516,2.9,9.3,9.38,9.57,10.23,9.25,134500.32
000056,皇庭国际,-5.9341,2.88,4.16,4.21,4.28,4.55,4.2,176121.41
600888,新疆众和,-5.3061,2.88,4.51,4.5,4.64,4.9,4.5,106040.67
002266,浙富控股,-5.0998,2.39,4.18,4.35,4.28,4.51,4.27,237612.2
600615,丰华股份,-6.3158,0.93,9.7,9.58,9.79,10.45,9.34,209176.71
600236,桂冠电力,-6.2136,0.63,4.8,4.94,4.83,5.15,4.8,231711.83
601916,浙商银行,-10.9319,0.61,4.94,4.95,4.97,5.58,4.88,9478244.63
603208,江山欧派,-5.0372,0.49,50.84,51.09,51.09,53.8,50.6,18604.0
002781,奇信股份,-7.0787,0.43,16.47,16.42,16.54,17.8,16.42,15366.0
603976,正川股份,-8.1877,0.04,26.79,24.11,26.8,29.19,24.11,132546.03
300508,维宏股份,-6.4758,-0.38,26.24,26.5,26.14,27.95,26.03,5519.2
600836,界龙实业,-5.1282,-0.45,4.46,4.4,4.44,4.68,4.32,234430.4
300112,万讯自控,-5.8524,-1.07,7.48,7.7,7.4,7.86,7.4,29666.38
300552,万集科技,-5.4311,-1.32,75.7,76.19,74.7,78.99,73.0,33821.3
300107,建新股份,-7.8406,-1.51,7.28,7.3,7.17,7.78,7.17,313028.76
