code,name,ma_up_count,pct_chg(%),MA2,pct_chg_2(%),MA3,pct_chg_3(%),MA5,pct_chg_5(%),MA10,pct_chg_10(%),MA20,pct_chg_20(%),MA30,pct_chg_30(%),pre_close_price,open_price,close_price,high,low,volume
603022,新通联,35,1.36,14.08,-8.7,14.56,-16.1,15.67,-15.15,15.51,-10.32,14.97,16.72,13.16,57.1,13.98,13.82,14.17,14.68,13.82,102078.3
002058,威尔泰,25,2.2,20.25,3.91,20.07,3.91,19.86,6.01,19.39,7.91,18.28,23.16,17.27,39.25,20.03,20.03,20.47,20.49,19.92,21413.21
002332,仙琚制药,22,10.05,10.77,10.7,10.57,11.13,10.52,12.02,10.18,27.31,9.6,32.71,9.2,36.73,10.25,10.2,11.28,11.28,9.92,657913.93
002605,姚记科技,20,0.25,16.26,-3.78,16.48,1.31,16.42,-4.12,16.02,16.12,14.9,19.53,14.34,24.75,16.24,16.46,16.28,16.83,15.92,90895.3
300003,乐普医疗,20,-1.18,34.61,-2.19,34.79,-5.44,35.49,-4.97,34.84,10.58,33.0,17.29,31.23,24.91,34.81,34.99,34.4,35.08,33.69,290649.66
002028,思源电气,19,0.3,13.39,1.06,13.35,-0.52,13.39,-1.25,13.35,2.37,13.1,9.47,12.56,14.71,13.37,13.35,13.41,13.55,13.19,63892.27
002022,科华生物,19,-0.53,11.24,-3.03,11.35,-7.13,11.61,-4.92,11.59,-3.36,11.29,9.69,10.95,9.9,11.27,11.26,11.21,11.4,11.11,85858.02
600406,国电南瑞,19,-0.59,23.46,-0.43,23.47,-2.05,23.65,-2.74,23.64,1.61,23.0,9.35,22.49,7.49,23.53,23.75,23.39,23.75,23.1,177661.42
002821,凯莱英,18,-0.35,127.22,-3.82,128.83,-11.93,134.88,-10.47,134.71,-2.3,132.06,3.8,129.21,2.98,127.44,128.0,127.0,128.65,125.7,34599.04
300558,贝达药业,17,8.89,70.13,8.55,69.2,-0.11,70.91,-1.75,70.18,18.01,64.78,35.59,61.22,44.49,67.14,67.03,73.11,73.85,66.01,105511.79
603035,常熟汽饰,17,3.14,10.35,5.63,10.22,5.31,10.12,4.27,10.08,9.48,9.8,13.25,9.56,15.88,10.19,10.2,10.51,10.6,10.13,86737.67
002047,宝鹰股份,17,1.87,6.46,1.56,6.45,0.77,6.47,-0.46,6.37,6.19,6.08,17.06,5.83,27.34,6.4,6.43,6.52,6.54,6.42,152966.76
603506,南都物业,17,0.22,23.09,0.39,23.06,-5.05,23.19,3.31,22.27,12.79,20.84,23.32,20.03,25.46,23.06,22.94,23.11,23.57,22.83,25390.53
300486,东杰智能,17,-0.16,18.31,1.72,18.21,1.89,18.15,1.44,18.02,3.51,17.41,19.53,16.75,19.45,18.33,18.43,18.3,18.45,18.1,12291.0
300277,海联讯,17,-5.43,8.77,-10.68,9.03,-8.38,9.23,-12.42,9.14,-8.67,8.86,6.09,8.4,18.47,9.02,9.11,8.53,9.12,8.53,72906.0
601100,恒立液压,16,4.06,45.79,3.78,45.53,3.87,45.23,3.41,44.47,13.21,42.69,19.25,41.41,21.61,44.88,45.6,46.7,48.3,44.88,95772.64
300189,神农科技,16,1.54,3.92,-0.75,3.94,-1.25,3.97,-3.66,3.93,1.54,3.78,14.49,3.65,16.18,3.89,3.89,3.95,3.99,3.81,61885.36
603816,顾家家居,16,1.54,39.27,2.14,39.09,0.08,39.32,-2.32,39.27,3.07,38.25,10.01,37.3,15.4,38.97,38.78,39.57,39.86,38.68,23265.62
600741,华域汽车,16,0.19,26.34,1.85,26.18,2.57,25.99,0.34,25.86,5.02,25.5,6.33,24.9,10.94,26.31,26.34,26.36,26.49,25.91,112099.08
002816,和科达,16,0.0,22.54,-0.27,22.56,-1.27,22.67,-0.4,22.53,5.77,21.67,12.14,21.11,9.74,22.54,22.51,22.54,22.83,22.3,4691.0
