code,name,pct_close(%),amplitude,pct_high(%),upper_shadow(%),close_price,open_price,high,low,pre_close_price,amount(E),circ_mv(E)
300356,光一科技,5.46,11.32,9.96,4.5,7.73,7.23,8.06,7.23,7.33,5.91,28.49
300493,润欣科技,5.39,10.53,10.01,4.62,8.21,7.8,8.57,7.75,7.79,4.67,39.17
601100,恒立液压,4.06,7.62,7.62,3.57,46.7,45.6,48.3,44.88,44.88,4.47,411.89
000040,东旭蓝天,3.77,9.05,9.3,5.53,4.13,4.05,4.35,3.99,3.98,3.49,43.79
000662,天夏智慧,3.53,8.48,7.95,4.42,5.86,5.63,6.11,5.63,5.66,6.32,64.05
600105,永鼎股份,3.19,10.93,10.02,6.83,4.53,4.41,4.83,4.35,4.39,7.25,56.09
603976,正川股份,0.04,18.96,8.96,8.92,26.8,24.11,29.19,24.11,26.79,3.27,10.26
002721,金一文化,-2.61,11.83,6.61,6.78,5.6,5.74,6.13,5.45,5.75,3.67,34.77
002611,东方精工,-3.04,11.56,8.11,3.85,4.78,5.14,5.33,4.76,4.93,4.17,52.87
002247,聚力文化,-3.42,13.35,7.14,10.56,3.11,3.02,3.45,3.02,3.22,4.24,16.93
